Nvec,iters,tensor_iters,M,N,K,repeats,concurrent_ms
8192,150000,1000,128,128,128,4,217.677
8192,150000,1000,240,240,240,4,254.073
8192,150000,1000,256,256,256,4,245.074
8192,150000,1000,512,512,512,4,412.938
8192,150000,1000,2048,2048,2048,4,12562.5
14500,150000,1000,128,128,128,4,217.076
14500,150000,1000,240,240,240,4,256.077
14500,150000,1000,256,256,256,4,244.397
14500,150000,1000,512,512,512,4,406.669
14500,150000,1000,2048,2048,2048,4,12588.5
262144,150000,1000,128,128,128,4,327.565
262144,150000,1000,240,240,240,4,359.272
262144,150000,1000,256,256,256,4,351.607
262144,150000,1000,512,512,512,4,523.152
262144,150000,1000,2048,2048,2048,4,12707.1
8192,150000,1000,128,128,128,4,216.965
8192,150000,1000,240,240,240,4,251.159
8192,150000,1000,256,256,256,4,243.685
8192,150000,1000,512,512,512,4,415.729
8192,150000,1000,2048,2048,2048,4,12581.4
14500,150000,1000,128,128,128,4,227.863
14500,150000,1000,240,240,240,4,256.056
14500,150000,1000,256,256,256,4,250.223
14500,150000,1000,512,512,512,4,413.648
14500,150000,1000,2048,2048,2048,4,12601.3
262144,150000,1000,128,128,128,4,329.69
262144,150000,1000,240,240,240,4,362.262
262144,150000,1000,256,256,256,4,353.67
262144,150000,1000,512,512,512,4,521.011
262144,150000,1000,2048,2048,2048,4,12665
8192,150000,1000,128,128,128,4,225.136
8192,150000,1000,240,240,240,4,255.422
8192,150000,1000,256,256,256,4,249.829
8192,150000,1000,512,512,512,4,416.606
8192,150000,1000,2048,2048,2048,4,12595.8
14500,150000,1000,128,128,128,4,219.206
14500,150000,1000,240,240,240,4,248.407
14500,150000,1000,256,256,256,4,240.369
14500,150000,1000,512,512,512,4,417.738
14500,150000,1000,2048,2048,2048,4,12571.2
262144,150000,1000,128,128,128,4,325.691
262144,150000,1000,240,240,240,4,359.506
262144,150000,1000,256,256,256,4,353.862
262144,150000,1000,512,512,512,4,519.737
262144,150000,1000,2048,2048,2048,4,12678.5
8192,150000,1000,128,128,128,4,224.49
8192,150000,1000,240,240,240,4,256.092
8192,150000,1000,256,256,256,4,247.14
8192,150000,1000,512,512,512,4,409.491
8192,150000,1000,2048,2048,2048,4,12577.6
14500,150000,1000,128,128,128,4,220.319
14500,150000,1000,240,240,240,4,257.873
14500,150000,1000,256,256,256,4,249.066
14500,150000,1000,512,512,512,4,409.031
14500,150000,1000,2048,2048,2048,4,12601.8
262144,150000,1000,128,128,128,4,331.941
262144,150000,1000,240,240,240,4,360.568
262144,150000,1000,256,256,256,4,355.652
262144,150000,1000,512,512,512,4,520.02
262144,150000,1000,2048,2048,2048,4,12697.6
8192,150000,1000,128,128,128,4,222.451
8192,150000,1000,240,240,240,4,250.167
8192,150000,1000,256,256,256,4,249.561
8192,150000,1000,512,512,512,4,416.24
8192,150000,1000,2048,2048,2048,4,12577.9
14500,150000,1000,128,128,128,4,218.637
14500,150000,1000,240,240,240,4,253.621
14500,150000,1000,256,256,256,4,252.16
14500,150000,1000,512,512,512,4,412.432
14500,150000,1000,2048,2048,2048,4,12587.1
262144,150000,1000,128,128,128,4,330.781
262144,150000,1000,240,240,240,4,364.825
262144,150000,1000,256,256,256,4,349.136
262144,150000,1000,512,512,512,4,520.911
262144,150000,1000,2048,2048,2048,4,12680.7
8192,150000,1000,128,128,128,4,228.337
8192,150000,1000,240,240,240,4,253.444
8192,150000,1000,256,256,256,4,247.191
8192,150000,1000,512,512,512,4,414.379
8192,150000,1000,2048,2048,2048,4,12594
14500,150000,1000,128,128,128,4,216.807
14500,150000,1000,240,240,240,4,258.276
14500,150000,1000,256,256,256,4,248.601
14500,150000,1000,512,512,512,4,415.305
14500,150000,1000,2048,2048,2048,4,12579.7
262144,150000,1000,128,128,128,4,332.333
262144,150000,1000,240,240,240,4,361.464
262144,150000,1000,256,256,256,4,353.686
262144,150000,1000,512,512,512,4,523.226
262144,150000,1000,2048,2048,2048,4,12717.3
