Nvec,iters,tensor_iters,M,N,K,Repeats,concurrent_ms
8192,150000,1000,128,128,128,4,228.337
8192,150000,1000,240,240,240,4,253.444
8192,150000,1000,256,256,256,4,247.191
8192,150000,1000,512,512,512,4,414.379
8192,150000,1000,2048,2048,2048,4,12594.041
14500,150000,1000,128,128,128,4,216.807
14500,150000,1000,240,240,240,4,258.276
14500,150000,1000,256,256,256,4,248.601
14500,150000,1000,512,512,512,4,415.305
14500,150000,1000,2048,2048,2048,4,12579.671
262144,150000,1000,128,128,128,4,332.333
262144,150000,1000,240,240,240,4,361.464
262144,150000,1000,256,256,256,4,353.686
262144,150000,1000,512,512,512,4,523.226
262144,150000,1000,2048,2048,2048,4,12717.341
