Nvec,iters,tensor_iters,M,N,K,repeats,cuda_ms,tensor_ms,serialized_ms,concurrent_ms
256,150000000,10000000,16,16,16,3,884.397,1047.64,1932.04,1049.37
256,150000000,10000000,32,32,32,3,883.027,1933.08,2816.11,1933
256,150000000,10000000,64,64,64,3,877.752,4823.23,5700.98,4823.03
256,150000000,10000000,128,128,128,3,880.161,9213.57,10093.7,9214.22
4096,150000000,10000000,16,16,16,3,970.239,1047.65,2017.89,1049.38
4096,150000000,10000000,32,32,32,3,970.3,1947.63,2917.93,1950.58
256,150000000,10000000,16,16,16,3,884.384,1047.64,1932.02,1049.36
256,150000000,10000000,16,16,16,3,880.085,1042.55,1922.64,1042.27
256,150000000,10000000,32,32,32,3,880.052,1938.15,2818.2,1937.47
256,150000000,10000000,64,64,64,3,880.144,4838.34,5718.48,4837.76
256,150000000,10000000,128,128,128,3,879.899,9212.35,10092.2,9225.52
4096,150000000,10000000,16,16,16,3,970.241,1047.68,2017.92,1049.39
4096,150000000,10000000,32,32,32,3,970.281,1947.65,2917.93,1950.61
4096,150000000,10000000,64,64,64,3,970.257,4860.89,5831.15,4860.95
4096,150000000,10000000,128,128,128,3,970.231,9254.42,10224.6,9254.74
8192,150000000,10000000,16,16,16,3,970.281,1047.63,2017.91,1049.37
8192,150000000,10000000,32,32,32,3,970.305,1947.64,2917.94,1950.71
8192,150000000,10000000,64,64,64,3,970.292,4860.83,5831.12,4861.06
8192,150000000,10000000,128,128,128,3,970.307,9254.43,10224.7,11991
16384,150000000,10000000,16,16,16,3,998.653,1049.86,2048.51,1960.14
16384,150000000,10000000,32,32,32,3,1000.1,1954.82,2954.92,2876.88
16384,150000000,10000000,64,64,64,3,999.228,4875.49,5874.71,8919.05
16384,150000000,10000000,128,128,128,3,997.588,9284.07,10281.7,42170
32768,150000000,10000000,16,16,16,3,1576.41,1048.73,2625.14,2566.12
32768,150000000,10000000,32,32,32,3,1583.51,1954.55,3538.06,3503.8
256,150000000,10000000,16,16,16,3,12191.9,14084.4,26276.3,26541.2
8192,150000000,10000000,32,32,32,3,13012.3,26200.9,39213.2,39209.9
65536,150000000,10000000,128,128,128,3,38591.4,122793,161384,161356
