Nvec,iters,tensor_iters,M,N,K,repeats,cuda_ms,tensor_ms,serialized_ms,concurrent_ms
256,1500000,1000,256,256,256,3,222.897,133.399,356.295,356.623
256,1500000,1000,512,512,512,3,221.18,302.199,523.378,521.489
256,1500000,1000,1024,1024,1024,3,220.295,1695.42,1915.71,1917.03
256,1500000,1000,2048,2048,2048,3,219.283,12457.7,12677,12671.4
512,1500000,1000,256,256,256,3,220.315,131.495,351.809,351.726
512,1500000,1000,512,512,512,3,230.262,303.702,533.964,524.439
512,1500000,1000,1024,1024,1024,3,223.999,1699.27,1923.27,1914.65
512,1500000,1000,2048,2048,2048,3,220.538,12462.4,12682.9,12682.3
1024,1500000,1000,256,256,256,3,233.905,135.719,369.624,359.875
1024,1500000,1000,512,512,512,3,231.912,302.752,534.664,525.312
1024,1500000,1000,1024,1024,1024,3,231.767,1701.36,1933.13,1921.18
1024,1500000,1000,2048,2048,2048,3,223.17,12461.9,12685,12684
4096,1500000,1000,256,256,256,3,226.575,140.492,367.067,367.114
4096,1500000,1000,512,512,512,3,231.923,302.153,534.076,523.367
4096,1500000,1000,1024,1024,1024,3,230.413,1697.08,1927.49,1920.98
4096,1500000,1000,2048,2048,2048,3,220.994,12457.5,12678.5,12694.6
8192,1500000,1000,256,256,256,3,229.332,133.266,362.598,362.139
8192,1500000,1000,512,512,512,3,233.015,300.954,533.969,525.054
8192,1500000,1000,1024,1024,1024,3,226.597,1698.34,1924.93,1921.06
8192,1500000,1000,2048,2048,2048,3,226.354,12510.6,12736.9,12672.8
16384,1500000,1000,256,256,256,3,234.538,129.908,364.446,355.575
16384,1500000,1000,512,512,512,3,227.754,298.225,525.979,517.313
16384,1500000,1000,1024,1024,1024,3,228.501,1697.9,1926.4,1918.12
16384,1500000,1000,2048,2048,2048,3,223.897,12485,12708.9,12676.2
32768,1500000,1000,256,256,256,3,292.873,129.601,422.474,424.295
32768,1500000,1000,512,512,512,3,295.243,301.758,597.002,594.914
32768,1500000,1000,1024,1024,1024,3,293.984,1696.8,1990.78,1980.88
256,1500000,1000,256,256,256,3,228.953,133.084,362.037,351.729
256,1500000,1000,512,512,512,3,219.13,301.835,520.965,518.585
256,1500000,1000,1024,1024,1024,3,218.607,1699.6,1918.21,1910.09
256,1500000,1000,2048,2048,2048,3,217.179,12462.1,12679.3,12678.5
512,1500000,1000,256,256,256,3,228.594,134.276,362.87,351.606
512,1500000,1000,512,512,512,3,227.521,301.469,528.991,523.646
512,1500000,1000,1024,1024,1024,3,226.208,1694.92,1921.13,1905.65
512,1500000,1000,2048,2048,2048,3,223.649,12512.6,12736.3,12686.1
1024,1500000,1000,256,256,256,3,227.028,133.915,360.943,356.139
1024,1500000,1000,512,512,512,3,234.655,303.04,537.695,529.569
1024,1500000,1000,1024,1024,1024,3,229.567,1700.14,1929.71,1926.94
1024,1500000,1000,2048,2048,2048,3,229.491,12492.2,12721.7,12692
4096,1500000,1000,256,256,256,3,235.515,140.736,376.251,366.5
4096,1500000,1000,512,512,512,3,227.809,299.325,527.135,520.907
4096,1500000,1000,1024,1024,1024,3,227.485,1700.16,1927.65,1917.88
4096,1500000,1000,2048,2048,2048,3,223.413,12470.7,12694.1,12716.6
8192,1500000,1000,256,256,256,3,227.95,134.616,362.566,361.974
8192,1500000,1000,512,512,512,3,226.353,299.943,526.296,525.367
8192,1500000,1000,1024,1024,1024,3,224.201,1697.28,1921.48,1919.73
256,1500000,1000,256,256,256,3,227.846,130.709,358.555,350.446
256,1500000,1000,512,512,512,3,226.85,300.999,527.849,518.622
256,1500000,1000,1024,1024,1024,3,220.957,1702.13,1923.08,1922.58
256,1500000,1000,2048,2048,2048,3,219.303,12484.2,12703.5,12682.1
512,1500000,1000,256,256,256,3,228.857,133.893,362.75,355.328
512,1500000,1000,512,512,512,3,227.846,301.597,529.443,524.345
512,1500000,1000,1024,1024,1024,3,226.384,1696.04,1922.42,1918.98
512,1500000,1000,2048,2048,2048,3,222.393,12496,12718.4,12681
1024,1500000,1000,256,256,256,3,226.772,133.19,359.961,356.334
1024,1500000,1000,512,512,512,3,235.211,303.74,538.95,527.242
1024,1500000,1000,1024,1024,1024,3,225.203,1694.04,1919.25,1921.34
1024,1500000,1000,2048,2048,2048,3,228.216,12467.5,12695.7,12702.6
4096,1500000,1000,256,256,256,3,226.574,140.083,366.657,366.186
4096,1500000,1000,512,512,512,3,227.198,301.944,529.141,525.688
4096,1500000,1000,1024,1024,1024,3,228.962,1704.63,1933.59,1931.18
4096,1500000,1000,2048,2048,2048,3,224.661,12478.1,12702.8,12690.9
8192,1500000,1000,256,256,256,3,231.442,137.306,368.748,363.335
8192,1500000,1000,512,512,512,3,228.197,303.745,531.942,530.285
8192,1500000,1000,1024,1024,1024,3,231.909,1705.82,1937.73,1920.71
8192,1500000,1000,2048,2048,2048,3,228.073,12491.6,12719.7,12702.4
16384,1500000,1000,256,256,256,3,235.136,132.826,367.962,358.167
16384,1500000,1000,512,512,512,3,232.213,302.423,534.636,528.604
16384,1500000,1000,1024,1024,1024,3,226.513,1698.86,1925.37,1918.84
16384,1500000,1000,2048,2048,2048,3,215.429,12454.2,12669.7,12682.9
32768,1500000,1000,256,256,256,3,294.856,131.525,426.381,423.68
32768,1500000,1000,512,512,512,3,298.089,300.145,598.234,590.95
32768,1500000,1000,1024,1024,1024,3,294.504,1700.18,1994.69,1992.45
32768,1500000,1000,2048,2048,2048,3,296.315,12462,12758.3,12753.8
65536,1500000,1000,256,256,256,3,490.199,132.433,622.632,615.124
65536,1500000,1000,512,512,512,3,486.178,301.293,787.471,783.897
65536,1500000,1000,1024,1024,1024,3,481.655,1699.64,2181.3,2181.24
65536,1500000,1000,2048,2048,2048,3,476.048,12453.9,12929.9,12949.5
131072,1500000,1000,256,256,256,3,759.473,131.686,891.159,895.979
131072,1500000,1000,512,512,512,3,758.278,304.653,1062.93,1061.74
131072,1500000,1000,1024,1024,1024,3,763.021,1701.96,2464.98,2448.97
131072,1500000,1000,2048,2048,2048,3,759.549,12487.1,13246.7,13226.5
262144,1500000,1000,256,256,256,3,1308.82,132.064,1440.88,1442.08
262144,1500000,1000,512,512,512,3,1309.57,302.779,1612.35,1611.22
262144,1500000,1000,1024,1024,1024,3,1308.78,1700.49,3009.28,3002.49
262144,1500000,1000,2048,2048,2048,3,1308.39,12476.7,13785,13765.6
