Nvec,iters,tensor_iters,M,N,K,repeats,concurrent_ms
11000,150000,1000,16,16,16,4,216.783
10000,150000,1000,16,16,16,4,211.942
9000,150000,1000,16,16,16,4,207.975
8000,150000,1000,16,16,16,4,213.651
7800,150000,1000,16,16,16,4,216.574
7700,150000,1000,16,16,16,4,205.632
7600,150000,1000,16,16,16,4,214.961
7500,150000,1000,16,16,16,4,208.583
7300,150000,1000,16,16,16,4,208.593
7200,150000,1000,16,16,16,4,213.286
11000,150000,1000,16,16,16,4,209.591
12000,150000,1000,16,16,16,4,205.814
16000,150000,1000,16,16,16,4,206.505
15000,150000,1000,16,16,16,4,213.493
14500,150000,1000,16,16,16,4,210.114
