Nvec,iters,tensor_iters,M,N,K,repeats,concurrent_ms
256,1500000,1000,256,256,256,3,463.673
256,150000,1000,256,256,256,3,6.40154
256,150000,1000,512,512,512,3,21.5191
256,150000,1000,1024,1024,1024,3,173.778
256,150000,1000,2048,2048,2048,3,1372.47
512,150000,1000,256,256,256,3,6.41113
512,150000,1000,512,512,512,3,21.8394
512,150000,1000,1024,1024,1024,3,175.166
512,150000,1000,2048,2048,2048,3,1371.94
1024,150000,1000,256,256,256,3,6.10734
1024,150000,1000,512,512,512,3,24.9363
1024,150000,1000,1024,1024,1024,3,175.696
1024,150000,1000,2048,2048,2048,3,1373.24
4096,150000,1000,256,256,256,3,5.82204
4096,150000,1000,512,512,512,3,26.4601
4096,150000,1000,1024,1024,1024,3,178.135
4096,150000,1000,2048,2048,2048,3,1369.79
8192,150000,1000,256,256,256,3,12.2074
8192,150000,1000,512,512,512,3,26.7413
8192,150000,1000,1024,1024,1024,3,177.544
8192,150000,1000,2048,2048,2048,3,1373.53
16384,150000,1000,256,256,256,3,12.4098
16384,150000,1000,512,512,512,3,26.4087
16384,150000,1000,1024,1024,1024,3,177.02
16384,150000,1000,2048,2048,2048,3,1364.47
32768,150000,1000,256,256,256,3,14.3886
32768,150000,1000,512,512,512,3,27.6738
32768,150000,1000,1024,1024,1024,3,178.372
32768,150000,1000,2048,2048,2048,3,1369.01
65536,150000,1000,256,256,256,3,15.6705
65536,150000,1000,512,512,512,3,29.7231
65536,150000,1000,1024,1024,1024,3,182.412
65536,150000,1000,2048,2048,2048,3,1409.69
131072,150000,1000,256,256,256,3,18.4671
131072,150000,1000,512,512,512,3,32.7823
131072,150000,1000,1024,1024,1024,3,186.024
131072,150000,1000,2048,2048,2048,3,1390.61
262144,150000,1000,256,256,256,3,25.5045
262144,150000,1000,512,512,512,3,38.9699
262144,150000,1000,1024,1024,1024,3,192.493
262144,150000,1000,2048,2048,2048,3,1389.39
256,150000,1000,256,256,256,3,342.941
256,150000,1000,512,512,512,3,520.836
256,150000,1000,1024,1024,1024,3,1909.99
256,150000,1000,2048,2048,2048,3,12674.8
512,150000,1000,256,256,256,3,354.416
512,150000,1000,512,512,512,3,512.367
512,150000,1000,1024,1024,1024,3,1911.97
512,150000,1000,2048,2048,2048,3,12671.8
1024,150000,1000,256,256,256,3,347.261
1024,150000,1000,512,512,512,3,522.172
1024,150000,1000,1024,1024,1024,3,1912.17
1024,150000,1000,2048,2048,2048,3,12677
4096,150000,1000,256,256,256,3,352.181
4096,150000,1000,512,512,512,3,522.625
4096,150000,1000,1024,1024,1024,3,1917.63
4096,150000,1000,2048,2048,2048,3,12674.6
8192,150000,1000,256,256,256,3,345.581
8192,150000,1000,512,512,512,3,520.175
8192,150000,1000,1024,1024,1024,3,1915.23
8192,150000,1000,2048,2048,2048,3,12667.3
16384,150000,1000,256,256,256,3,344.128
16384,150000,1000,512,512,512,3,510.808
16384,150000,1000,1024,1024,1024,3,1908.87
16384,150000,1000,2048,2048,2048,3,12695.6
32768,150000,1000,256,256,256,3,347.739
32768,150000,1000,512,512,512,3,526.149
32768,150000,1000,1024,1024,1024,3,1908.34
32768,150000,1000,2048,2048,2048,3,12703
65536,150000,1000,256,256,256,3,377.832
65536,150000,1000,512,512,512,3,541.518
65536,150000,1000,1024,1024,1024,3,1940.85
65536,150000,1000,2048,2048,2048,3,12708.4
131072,150000,1000,256,256,256,3,395.688
131072,150000,1000,512,512,512,3,567.206
131072,150000,1000,1024,1024,1024,3,1977.69
131072,150000,1000,2048,2048,2048,3,12737.6
262144,150000,1000,256,256,256,3,451.123
262144,150000,1000,512,512,512,3,624.9
262144,150000,1000,1024,1024,1024,3,2021.4
262144,150000,1000,2048,2048,2048,3,12773.2
