Nvec,iters,tensor_iters,M,N,K,Repeats,cuda_ms,tensor_ms,serialized_ms,concurrent_ms
8192,1500000,1000,128,128,128,3,14.296,1.373,15.668999999999999,14.303
8192,1500000,1000,240,240,240,3,14.297,4.964,19.261000000000003,14.303
8192,1500000,1000,256,256,256,3,14.297,4.341,18.638,14.302
8192,1500000,1000,512,512,512,3,14.296,22.77,37.066,38.503
8192,1500000,1000,2048,2048,2048,3,14.307,1372.582,1386.8890000000001,1377.22
14500,1500000,1000,128,128,128,3,14.296,1.376,15.671999999999999,18.722
14500,1500000,1000,240,240,240,3,14.296,5.031,19.326999999999998,19.408
14500,1500000,1000,256,256,256,3,14.296,4.078,18.374,23.708
14500,1500000,1000,512,512,512,3,14.296,22.658,36.954,39.207
14500,1500000,1000,2048,2048,2048,3,14.308,1373.368,1387.676,1377.205
262144,1500000,1000,128,128,128,3,134.377,1.374,135.751,138.229
262144,1500000,1000,240,240,240,3,134.4,4.927,139.327,138.441
262144,1500000,1000,256,256,256,3,134.417,3.708,138.125,145.495
262144,1500000,1000,512,512,512,3,134.517,22.779,157.296,159.109
262144,1500000,1000,2048,2048,2048,3,134.426,1373.679,1508.105,1594.572
