Nvec,iters,tensor_iters,M,N,K,repeats,cuda_ms,tensor_ms,serialized_ms,concurrent_ms
8192,1500000,1000,128,128,128,3,14.2957,1.37284,15.6686,14.3029
8192,1500000,1000,240,240,240,3,14.2971,4.96401,19.2611,14.3032
8192,1500000,1000,256,256,256,3,14.297,4.34142,18.6384,14.3023
8192,1500000,1000,512,512,512,3,14.2961,22.77,37.0661,38.5031
8192,1500000,1000,2048,2048,2048,3,14.3066,1372.58,1386.89,1377.22
14500,1500000,1000,128,128,128,3,14.2964,1.37591,15.6723,18.7224
14500,1500000,1000,240,240,240,3,14.2961,5.03125,19.3273,19.4078
14500,1500000,1000,256,256,256,3,14.2957,4.07791,18.3736,23.7084
14500,1500000,1000,512,512,512,3,14.2964,22.6577,36.9541,39.2073
14500,1500000,1000,2048,2048,2048,3,14.3084,1373.37,1387.68,1377.21
262144,1500000,1000,128,128,128,3,134.377,1.37387,135.751,138.229
262144,1500000,1000,240,240,240,3,134.4,4.92749,139.327,138.441
262144,1500000,1000,256,256,256,3,134.417,3.70756,138.125,145.495
262144,1500000,1000,512,512,512,3,134.517,22.7788,157.296,159.109
262144,1500000,1000,2048,2048,2048,3,134.426,1373.68,1508.1,1594.57
