Nvec,iters,tensor_iters,M,N,K,repeats,concurrent_ms
16384,150000,1000,128,128,128,4,223.421
16384,150000,1000,240,240,240,4,253.779
16384,150000,1000,256,256,256,4,242.396
16384,150000,1000,512,512,512,4,412.716
16384,150000,1000,2048,2048,2048,4,12568.1
32768,150000,1000,128,128,128,4,233.068
32768,150000,1000,240,240,240,4,266.532
32768,150000,1000,256,256,256,4,253.037
32768,150000,1000,512,512,512,4,417.067
32768,150000,1000,2048,2048,2048,4,12584.5
65536,150000,1000,128,128,128,4,248.383
65536,150000,1000,240,240,240,4,280.914
65536,150000,1000,256,256,256,4,265.565
65536,150000,1000,512,512,512,4,443.783
65536,150000,1000,2048,2048,2048,4,12596.9
131072,150000,1000,128,128,128,4,271.918
131072,150000,1000,240,240,240,4,310.025
131072,150000,1000,256,256,256,4,299.946
131072,150000,1000,512,512,512,4,466.107
131072,150000,1000,2048,2048,2048,4,12642.6
262144,150000,1000,128,128,128,4,325.747
262144,150000,1000,240,240,240,4,359.131
262144,150000,1000,256,256,256,4,349.637
262144,150000,1000,512,512,512,4,520.965
262144,150000,1000,2048,2048,2048,4,12716.8
