Nvec,iters,tensor_iters,M,N,K,Repeats,cuda_ms,tensor_ms,serialized_ms,concurrent_ms
256,1500000,1000,16,16,16,3,13.066,0.177,13.243,13.094
256,1500000,1000,32,32,32,3,13.069,0.312,13.381,13.095
256,1500000,1000,64,64,64,3,13.058,0.738,13.796,13.086
256,1500000,1000,128,128,128,3,13.057,1.387,14.444,13.082
256,1500000,1000,256,256,256,3,13.067,4.181,17.248,13.099
256,1500000,1000,512,512,512,3,13.062,22.735,35.797,21.52
256,1500000,1000,1024,1024,1024,3,13.487,177.896,191.38299999999998,174.569
256,1500000,1000,2048,2048,2048,3,13.492,1373.093,1386.585,1372.375
512,1500000,1000,16,16,16,3,14.331,0.178,14.509,14.355
512,1500000,1000,32,32,32,3,14.331,0.314,14.645,14.354
512,1500000,1000,64,64,64,3,14.321,0.738,15.059,14.344
512,1500000,1000,128,128,128,3,14.331,1.39,15.721,14.355
512,1500000,1000,256,256,256,3,14.331,4.205,18.536,14.369
512,1500000,1000,512,512,512,3,14.322,22.766,37.087999999999994,21.831
512,1500000,1000,1024,1024,1024,3,14.33,177.252,191.58200000000002,173.973
512,1500000,1000,2048,2048,2048,3,14.332,1372.453,1386.785,1371.855
1024,1500000,1000,16,16,16,3,14.33,0.178,14.508000000000001,14.355
1024,1500000,1000,32,32,32,3,14.322,0.308,14.629999999999999,14.343
1024,1500000,1000,64,64,64,3,14.332,0.746,15.078000000000001,14.354
1024,1500000,1000,128,128,128,3,14.321,1.387,15.708,14.345
1024,1500000,1000,256,256,256,3,14.325,3.974,18.299,14.352
1024,1500000,1000,512,512,512,3,14.334,22.771,37.105000000000004,24.944
1024,1500000,1000,1024,1024,1024,3,13.864,177.141,191.005,178.537
1024,1500000,1000,2048,2048,2048,3,14.321,1372.422,1386.743,1370.788
4096,1500000,1000,16,16,16,3,14.323,0.174,14.497,14.348
4096,1500000,1000,32,32,32,3,14.332,0.314,14.646,14.354
4096,1500000,1000,64,64,64,3,14.335,0.74,15.075000000000001,14.358
4096,1500000,1000,128,128,128,3,14.321,1.388,15.709,14.345
4096,1500000,1000,256,256,256,3,14.331,5.203,19.534,14.365
4096,1500000,1000,512,512,512,3,14.323,22.787,37.11,38.421
4096,1500000,1000,1024,1024,1024,3,14.321,176.864,191.185,180.974
4096,1500000,1000,2048,2048,2048,3,14.335,1371.826,1386.161,1371.288
8192,1500000,1000,16,16,16,3,14.332,0.179,14.511000000000001,14.353
8192,1500000,1000,32,32,32,3,14.335,0.31,14.645000000000001,14.355
8192,1500000,1000,64,64,64,3,14.331,0.74,15.071,14.353
8192,1500000,1000,128,128,128,3,14.332,1.39,15.722000000000001,14.358
8192,1500000,1000,256,256,256,3,14.321,4.357,18.678,14.349
8192,1500000,1000,512,512,512,3,14.334,22.825,37.159,38.582
8192,1500000,1000,1024,1024,1024,3,14.331,177.23,191.56099999999998,199.152
8192,1500000,1000,2048,2048,2048,3,14.322,1372.301,1386.6229999999998,1376.868
16384,1500000,1000,16,16,16,3,14.33,0.178,14.508000000000001,14.356
16384,1500000,1000,32,32,32,3,14.321,0.307,14.628,14.342
16384,1500000,1000,64,64,64,3,14.331,0.741,15.072,14.413
16384,1500000,1000,128,128,128,3,14.323,1.387,15.71,14.933
16384,1500000,1000,256,256,256,3,14.331,3.741,18.072,23.725
16384,1500000,1000,512,512,512,3,14.322,22.802,37.123999999999995,38.377
16384,1500000,1000,1024,1024,1024,3,14.33,177.469,191.799,189.492
16384,1500000,1000,2048,2048,2048,3,14.322,1372.474,1386.7959999999998,1378.656
32768,1500000,1000,16,16,16,3,21.769,0.178,21.947,21.792
32768,1500000,1000,32,32,32,3,21.761,0.307,22.067999999999998,21.782
32768,1500000,1000,64,64,64,3,21.761,0.738,22.499,22.501
32768,1500000,1000,128,128,128,3,21.77,1.392,23.162,24.207
32768,1500000,1000,256,256,256,3,21.76,3.73,25.490000000000002,33.44
32768,1500000,1000,512,512,512,3,21.77,22.805,44.575,46.828
32768,1500000,1000,1024,1024,1024,3,21.771,176.972,198.743,196.323
32768,1500000,1000,2048,2048,2048,3,21.761,1372.371,1394.132,1419.453
